county_geoid_coalesced,month_of_payment,sum_assistance_amount,unique_assisted_addresses
01001,2021-04-01,-99999,-99999
01001,2021-06-01,-99999,-99999
01001,2021-07-01,-99999,-99999
01001,2021-08-01,60138.21,11
01001,2021-09-01,112152.51,15
01001,2021-10-01,260371.58,42
01001,2021-11-01,110800,25
01001,2021-12-01,90497.99,19
01001,2022-01-01,131329.78,26
01001,2022-02-01,132389.21,27
01001,2022-03-01,182614.53,47
01001,2022-04-01,351720.19,127
01001,2022-05-01,183611.58,53
01001,2022-06-01,233737.26,59
01001,2022-07-01,153763.43,50
01001,2022-08-01,203909.99,45
01001,2022-09-01,221498.03,49
01001,2022-10-01,337284.79,124
01001,2022-11-01,190389.95,42
01001,2022-12-01,244993.87,60
01001,2023-01-01,204831.56,59
01001,2023-02-01,161988.5,35
01001,2023-03-01,113174.68,24
01005,2021-06-01,-99999,-99999
01005,2021-07-01,-99999,-99999
01005,2021-08-01,-99999,-99999
01005,2021-09-01,-99999,-99999
01005,2021-10-01,62149.89,15
01005,2021-11-01,91224.85,17
01005,2021-12-01,-99999,-99999
01005,2022-01-01,-99999,-99999
01005,2022-02-01,79948.3,13
01005,2022-03-01,92982.4,20
01005,2022-04-01,-99999,-99999
01005,2022-05-01,61670.44,17
01005,2022-06-01,117524.9,45
01005,2022-07-01,238963.95,91
01005,2022-08-01,280989.42,125
01005,2022-09-01,226678.4,80
01005,2022-10-01,200104.11,74
01005,2022-11-01,173586.07,64
01005,2022-12-01,138574.61,50
01005,2023-01-01,145236.65,70
01005,2023-02-01,129943.99,77
01005,2023-03-01,65154.15,18
01007,2021-05-01,-99999,-99999
01007,2021-08-01,-99999,-99999
01007,2021-09-01,-99999,-99999
01007,2021-10-01,-99999,-99999
01007,2021-11-01,-99999,-99999
01007,2021-12-01,-99999,-99999
01007,2022-01-01,-99999,-99999
01007,2022-02-01,-99999,-99999
01007,2022-03-01,48834.24,11
01007,2022-04-01,-99999,-99999
01007,2022-05-01,-99999,-99999
01007,2022-06-01,37686.25,47
01007,2022-07-01,49977.05,23
01007,2022-08-01,49372.77,17
01007,2022-09-01,38829.76,17
01007,2022-10-01,56502.53,22
01007,2022-11-01,27208.42,13
01007,2022-12-01,71108.18,34
01007,2023-01-01,65609.85,57
01007,2023-02-01,-99999,-99999
01007,2023-03-01,-99999,-99999
01009,2021-06-01,-99999,-99999
01009,2021-08-01,-99999,-99999
01009,2021-09-01,-99999,-99999
01009,2021-10-01,93357.53,16
01009,2021-11-01,-99999,-99999
01009,2021-12-01,-99999,-99999
01009,2022-01-01,54878.7,11
01009,2022-02-01,-99999,-99999
01009,2022-03-01,-99999,-99999
01009,2022-04-01,99122.9,39
01009,2022-05-01,41722.65,24
01009,2022-06-01,-99999,-99999
01009,2022-07-01,44590,32
01009,2022-08-01,25986.17,14
01009,2022-09-01,87495.38,64
01009,2022-10-01,-99999,-99999
01009,2022-11-01,-99999,-99999
01009,2022-12-01,64954.72,33
01009,2023-01-01,93691.73,54
01009,2023-02-01,-99999,-99999
01009,2023-03-01,-99999,-99999
01011,2021-10-01,-99999,-99999
01011,2021-11-01,-99999,-99999
01011,2021-12-01,-99999,-99999
01011,2022-01-01,-99999,-99999
01011,2022-02-01,36759.17,11
01011,2022-03-01,-99999,-99999
01011,2022-04-01,55010.52,34
01011,2022-05-01,-99999,-99999
01011,2022-06-01,58800.54,12
01011,2022-07-01,40318.83,15
01011,2022-08-01,71464.52,22
01011,2022-09-01,71062.18,24
01011,2022-10-01,78086.65,45
01011,2022-11-01,27833.47,11
01011,2022-12-01,51659.11,15
01011,2023-01-01,-99999,-99999
01011,2023-02-01,-99999,-99999
01011,2023-03-01,91231.51,38
01013,2021-06-01,-99999,-99999
01013,2021-07-01,-99999,-99999
01013,2021-08-01,40391.39,13
01013,2021-09-01,65798.65,13
01013,2021-10-01,93662.69,25
01013,2021-11-01,40014.77,13
01013,2021-12-01,24255.88,11
01013,2022-01-01,62993.91,28
01013,2022-02-01,55393.7,13
01013,2022-03-01,68104.76,14
01013,2022-04-01,-99999,-99999
01013,2022-05-01,38469.72,11
01013,2022-06-01,90074.95,57
01013,2022-07-01,126597.67,48
01013,2022-08-01,129093.33,53
01013,2022-09-01,60815.78,21
01013,2022-10-01,67730.03,30
01013,2022-11-01,109228.09,34
01013,2022-12-01,95039.62,79
01013,2023-01-01,68824.32,38
01013,2023-02-01,52673.85,23
01013,2023-03-01,26730.35,11
01015,2021-04-01,-99999,-99999
01015,2021-05-01,-99999,-99999
01015,2021-06-01,-99999,-99999
01015,2021-08-01,148507.38,22
01015,2021-09-01,116639.61,25
01015,2021-10-01,354665.4,56
01015,2021-11-01,308134.25,44
01015,2021-12-01,158506.13,38
01015,2022-01-01,238491.84,48
01015,2022-02-01,301243.21,64
01015,2022-03-01,271928.33,63
01015,2022-04-01,204579.47,42
01015,2022-05-01,177614.65,56
01015,2022-06-01,224792.5,72
01015,2022-07-01,260816.85,80
01015,2022-08-01,416259.6,104
01015,2022-09-01,381565.73,112
01015,2022-10-01,400355.11,113
01015,2022-11-01,503523.33,153
01015,2022-12-01,483807.14,145
01015,2023-01-01,336694,88
01015,2023-02-01,284646.58,69
01015,2023-03-01,200276.03,53
01017,2021-05-01,-99999,-99999
01017,2021-06-01,-99999,-99999
01017,2021-07-01,-99999,-99999
01017,2021-08-01,40188.06,15
01017,2021-09-01,50121.59,15
01017,2021-10-01,183830,33
01017,2021-11-01,171836,43
01017,2021-12-01,67490.93,20
01017,2022-01-01,156547.81,32
01017,2022-02-01,192699.56,48
01017,2022-03-01,275022.69,63
01017,2022-04-01,239895.68,39
01017,2022-05-01,270227.38,107
01017,2022-06-01,136990.9,42
01017,2022-07-01,177067.31,50
01017,2022-08-01,278886.77,82
01017,2022-09-01,295505.79,57
01017,2022-10-01,248899.48,92
01017,2022-11-01,208164.47,82
01017,2022-12-01,228253.3,52
01017,2023-01-01,215936.88,59
01017,2023-02-01,81691.6,27
01017,2023-03-01,197076.36,50
01019,2021-09-01,-99999,-99999
01019,2021-11-01,-99999,-99999
01019,2021-12-01,-99999,-99999
01019,2022-01-01,-99999,-99999
01019,2022-02-01,-99999,-99999
01019,2022-03-01,-99999,-99999
01019,2022-04-01,-99999,-99999
01019,2022-05-01,72088.41,49
01019,2022-06-01,-99999,-99999
01019,2022-07-01,24223.82,14
01019,2022-09-01,13900.84,11
01019,2022-10-01,-99999,-99999
01019,2022-11-01,28569.33,26
01019,2022-12-01,37166.77,27
01019,2023-01-01,57335.48,51
01019,2023-02-01,-99999,-99999
01019,2023-03-01,14156.09,11
01021,2021-04-01,-99999,-99999
01021,2021-05-01,-99999,-99999
01021,2021-06-01,-99999,-99999
01021,2021-07-01,-99999,-99999
01021,2021-08-01,-99999,-99999
01021,2021-09-01,51667.66,11
01021,2021-10-01,164508.68,27
01021,2021-11-01,101917.76,15
01021,2021-12-01,-99999,-99999
01021,2022-01-01,80733.17,31
01021,2022-02-01,87275.62,56
01021,2022-03-01,77075.08,19
01021,2022-04-01,178591.97,103
01021,2022-05-01,90690.64,45
01021,2022-06-01,112520.95,86
01021,2022-07-01,60126.61,36
01021,2022-08-01,77411.9,33
01021,2022-09-01,59991.19,32
01021,2022-10-01,220670.26,121
01021,2022-11-01,151880.55,100
01021,2022-12-01,89343.67,27
01021,2023-01-01,47843.48,13
01021,2023-02-01,79544.91,59
01021,2023-03-01,29995.71,12
01023,2021-09-01,-99999,-99999
01023,2021-10-01,-99999,-99999
01023,2021-11-01,-99999,-99999
01023,2021-12-01,-99999,-99999
01023,2022-01-01,-99999,-99999
01023,2022-02-01,-99999,-99999
01023,2022-03-01,-99999,-99999
01023,2022-04-01,-99999,-99999
01023,2022-05-01,-99999,-99999
01023,2022-06-01,57618.9,84
01023,2022-07-01,35714.08,49
01023,2022-08-01,-99999,-99999
01023,2022-09-01,-99999,-99999
01023,2022-10-01,-99999,-99999
01023,2022-11-01,-99999,-99999
01023,2022-12-01,50326.37,78
01023,2023-01-01,48873.97,47
01023,2023-03-01,-99999,-99999
01025,2021-08-01,-99999,-99999
01025,2021-09-01,-99999,-99999
01025,2021-10-01,193966.42,18
01025,2021-11-01,-99999,-99999
01025,2021-12-01,-99999,-99999
01025,2022-01-01,-99999,-99999
01025,2022-02-01,103851.57,15
01025,2022-03-01,69127.21,15
01025,2022-04-01,39876.76,17
01025,2022-05-01,51177.42,18
01025,2022-06-01,163774.62,146
01025,2022-07-01,87901.01,32
01025,2022-08-01,187694.41,49
01025,2022-09-01,92228.49,30
01025,2022-10-01,96796,34
01025,2022-11-01,85372.09,32
01025,2022-12-01,94441.6,34
01025,2023-01-01,182492.96,140
01025,2023-02-01,188468.45,77
01025,2023-03-01,74349.68,21
01027,2021-10-01,-99999,-99999
01027,2021-11-01,-99999,-99999
01027,2021-12-01,-99999,-99999
01027,2022-01-01,-99999,-99999
01027,2022-02-01,-99999,-99999
01027,2022-03-01,-99999,-99999
01027,2022-04-01,33326.98,12
01027,2022-05-01,111811.39,80
01027,2022-06-01,-99999,-99999
01027,2022-07-01,39129.62,14
01027,2022-08-01,19317.09,14
01027,2022-09-01,55022.2,29
01027,2022-10-01,75641.99,42
01027,2022-11-01,78947.74,42
01027,2022-12-01,28477.27,12
01027,2023-01-01,-99999,-99999
01027,2023-02-01,35018.61,11
01027,2023-03-01,-99999,-99999
01029,2021-09-01,-99999,-99999
01029,2021-10-01,-99999,-99999
01029,2021-11-01,-99999,-99999
01029,2021-12-01,-99999,-99999
01029,2022-01-01,-99999,-99999
01029,2022-02-01,48536.91,28
01029,2022-03-01,-99999,-99999
01029,2022-05-01,-99999,-99999
01029,2022-06-01,-99999,-99999
01029,2022-07-01,-99999,-99999
01029,2022-08-01,-99999,-99999
01029,2022-09-01,12295.29,11
01029,2022-10-01,-99999,-99999
01029,2022-11-01,-99999,-99999
01029,2023-01-01,-99999,-99999
01029,2023-02-01,-99999,-99999
01031,2021-04-01,-99999,-99999
01031,2021-05-01,-99999,-99999
01031,2021-06-01,-99999,-99999
01031,2021-07-01,-99999,-99999
01031,2021-08-01,-99999,-99999
01031,2021-09-01,-99999,-99999
01031,2021-10-01,116715.81,25
01031,2021-11-01,90925.12,17
01031,2021-12-01,-99999,-99999
01031,2022-01-01,72783.63,20
01031,2022-02-01,155007.41,31
01031,2022-03-01,139152.2,49
01031,2022-04-01,69242.19,19
01031,2022-05-01,88786.71,24
01031,2022-06-01,122876.92,45
01031,2022-07-01,124511.64,51
01031,2022-08-01,173658.41,52
01031,2022-09-01,186212.9,44
01031,2022-10-01,149054.63,49
01031,2022-11-01,185628.04,68
01031,2022-12-01,219711.34,102
01031,2023-01-01,159495,40
01031,2023-02-01,89117.9,23
01031,2023-03-01,113750.13,32
01033,2021-06-01,-99999,-99999
01033,2021-07-01,-99999,-99999
01033,2021-08-01,60673.04,12
01033,2021-09-01,-99999,-99999
01033,2021-10-01,91230.94,25
01033,2021-11-01,184621.55,23
01033,2021-12-01,98774.45,19
01033,2022-01-01,57952.2,18
01033,2022-02-01,107577.5,22
01033,2022-03-01,77353.3,18
01033,2022-04-01,88496.81,16
01033,2022-05-01,69892.13,19
01033,2022-06-01,159941.41,91
01033,2022-07-01,78500.6,21
01033,2022-08-01,141484.58,40
01033,2022-09-01,138092.26,38
01033,2022-10-01,104482.1,33
01033,2022-11-01,126118.06,29
01033,2022-12-01,241244.81,101
01033,2023-01-01,103454.99,29
01033,2023-02-01,113995.86,69
01033,2023-03-01,84156.32,22
01035,2021-05-01,-99999,-99999
01035,2021-08-01,-99999,-99999
01035,2021-09-01,-99999,-99999
01035,2021-10-01,-99999,-99999
01035,2021-11-01,70947.43,17
01035,2021-12-01,-99999,-99999
01035,2022-01-01,55561.32,12
01035,2022-02-01,46584.72,12
01035,2022-03-01,-99999,-99999
01035,2022-04-01,44599.02,11
01035,2022-05-01,32879.58,11
01035,2022-06-01,-99999,-99999
01035,2022-07-01,49631.37,49
01035,2022-08-01,76166.58,17
01035,2022-09-01,-99999,-99999
01035,2022-10-01,50109.43,15
01035,2022-11-01,44701.69,21
01035,2022-12-01,60611.62,36
01035,2023-01-01,32897.17,13
01035,2023-02-01,41840.71,20
01035,2023-03-01,-99999,-99999
01037,2021-08-01,-99999,-99999
01037,2021-09-01,-99999,-99999
01037,2021-10-01,-99999,-99999
01037,2021-11-01,-99999,-99999
01037,2021-12-01,-99999,-99999
01037,2022-01-01,-99999,-99999
01037,2022-02-01,-99999,-99999
01037,2022-04-01,64790.87,39
01037,2022-05-01,-99999,-99999
01037,2022-06-01,-99999,-99999
01037,2022-07-01,34650.75,13
01037,2022-08-01,75321.68,48
01037,2022-09-01,-99999,-99999
01037,2022-10-01,-99999,-99999
01037,2022-11-01,-99999,-99999
01037,2022-12-01,10332.2,12
01037,2023-01-01,-99999,-99999
01037,2023-02-01,-99999,-99999
01037,2023-03-01,-99999,-99999
01039,2021-06-01,-99999,-99999
01039,2021-08-01,-99999,-99999
01039,2021-09-01,-99999,-99999
01039,2021-10-01,55799.19,12
