county_geoid_coalesced,sum_assistance_amount,unique_assisted_addresses
01001,3713891.43,642
01005,2247685.08,629
01007,711308.44,213
01009,950442.52,292
01011,785777.06,182
01013,1357889.7,388
01015,5813316.28,1123
01017,3752208.4,802
01019,408484.05,176
01021,1900160.65,619
01023,473458.16,178
01025,1884276.69,460
01027,695404.62,228
01029,181499.72,82
01031,2404162.85,529
01033,2202006.67,505
01035,730274.77,194
01037,334667.32,119
01039,1291050.52,406
01041,423227.54,160
01043,1475782.75,639
01045,4655743.78,1078
01047,7156567.63,1592
01049,1134318.12,485
01051,6086519.34,906
01053,2026921.55,419
01055,5329454.76,1168
01057,443842.31,201
01059,653228.19,202
01061,764195.95,130
01063,834529.95,486
01065,876080.9,339
01067,596992.64,202
01069,11428140.5,2091
01071,1043402.23,473
01075,687904.45,347
01077,3237697.37,889
01079,295398.95,130
01081,10760339.709999999,2602
01083,2469648.89,496
01085,489102.88,101
01087,1305522.13,300
01091,1273110.8,342
01093,989064.38,382
01095,1828759.2,509
01097,27421390.62,5483
01099,878944.32,260
01101,41407349.7,5149
01103,6102023.62,1144
01105,743013.26,375
01107,794960.94,292
01109,3232503.87,890
01111,645072.38,336
01113,6922183.24,1131
01115,3644231.47,582
01117,11212912.68,1400
01119,900556.32,391
01121,6435573.16,1427
01123,3248051.02,734
01127,1859031.86,515
01129,223936.43,91
01131,329164.28,79
01133,444354.43,183
02013,170144.41,71
02016,283870.72,80
02020,155889338.4834971,15208
02050,949946.67,446
02060,102767.38,36
02063,1199926.14,322
02066,87599.39,38
02068,36139.23,17
02070,450385.14,154
02090,19548202.23,2262
02100,629331.23,285
02105,286837.36,119
02110,11606981.31,1069
02122,12193979.93,1804
02130,11448055.71,916
02150,4694110.54,402
02158,-99999,-99999
02164,74957.16,73
02170,22969990.23,3795
02180,1096184.87,326
02185,171638.54,49
02188,-99999,-99999
02195,1215809.03,661
02198,1013963.03,936
02220,3220895.9,354
02230,631386.48,222
02240,759159.91,1443
02275,318368.66,150
02282,35178.04,17
02290,102753.6,77
05001,671566.57,122
05003,506277.88,131
05005,444389.12,113
05009,275325.82,93
05011,459051.44,120
05013,182205.22,23
05015,358232.02,103
05017,507318.82,106
05019,563297.3,130
05021,160074.87,50
05023,393428.86,94
05025,128689.19,34
05027,671956.8,184
05029,1194618.21,204
05031,9332577.68,1541
05033,1019261.13,215
05035,5661171.28,907
05037,654918.46,189
05039,276585.11,63
05041,898595.6,163
05043,840129.3,178
05045,5767992.03,830
05047,167805.66,47
05049,104315.22,21
05051,5509415.84,829
05053,339884.58,50
05055,1238752.89,291
05057,514048.57,129
05059,1006628.94,169
05061,233647.27,57
05063,652500.49,134
05065,65467.14,21
05067,528789.18,142
05069,8805631.34,1181
05071,562446.83,139
05073,81116.99,15
05075,167816.27,59
05077,531496.61,89
05079,410325.52,60
05081,210533.94,54
05083,190167.07,45
05085,2546761.58,414
05087,164340.19,18
05089,151723.77,35
05091,2514960.33,323
05093,5970987.62,1014
05095,243514.93,55
05097,127767.93,17
05099,117616.06,31
05101,-99999,-99999
05103,989100.93,191
05105,173061.99,41
05107,1781152.81,311
05109,128061.92,24
05111,543920.49,174
05113,169572.53,49
05115,925665.69,245
05117,236973.58,78
05121,128063.81,41
05123,2165319.91,384
05125,3267098.85,496
05127,140236.86,25
05129,58196.23,16
05131,4074949,805
05133,155955.3,40
05135,192308.33,45
05137,161610.43,39
05139,2989726.51,403
05141,379986.36,64
05143,12586071.1,3073
05145,2297420.79,468
05147,135748.45,29
